Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
484,Exit long,2025-05-27 09:16,Close entry(s) order Long,56969.7,1,57066.9,-4599.38,-0.23,1640.8,0.08,-6409.2,-0.32,-409970.25,-4.10
484,Entry long,2025-05-26 14:58,Long,57066.9,1,57066.9,-4599.38,-0.23,1640.8,0.08,-6409.2,-0.32,-409970.25,-4.10
485,Exit short,2025-05-27 11:02,Close entry(s) order Short,56680.9,1,56969.7,8914.67,0.45,16187.82,0.81,-2187.18,-0.11,-401055.6,-4.01
485,Entry short,2025-05-27 09:16,Short,56969.7,1,56969.7,8914.67,0.45,16187.82,0.81,-2187.18,-0.11,-401055.6,-4.01
486,Exit long,2025-05-27 12:31,Close entry(s) order Long,56956.9,1,56841.5,2844.12,0.14,17582.16,0.88,-4635.84,-0.23,-398211.47,-3.98
486,Entry long,2025-05-27 11:06,Long,56841.5,1,56841.5,2844.12,0.14,17582.16,0.88,-4635.84,-0.23,-398211.47,-3.98
487,Exit short,2025-05-27 13:48,Close entry(s) order Short,57046.9,1,56925.9,-5431.71,-0.27,270.28,0.01,-8087.72,-0.41,-403643.2,-4.04
487,Entry short,2025-05-27 13:24,Short,56925.9,1,56925.9,-5431.71,-0.27,270.28,0.01,-8087.72,-0.41,-403643.2,-4.04
488,Exit short,2025-05-27 15:01,Close entry(s) order Short,56906.1,1,56878.3,-2167.74,-0.11,6416.78,0.32,-2053.22,-0.10,-405810.9,-4.06
488,Entry short,2025-05-27 14:00,Short,56878.3,1,56878.3,-2167.74,-0.11,6416.78,0.32,-2053.22,-0.10,-405810.9,-4.06
489,Exit long,2025-05-28 13:17,Close entry(s) order Long,56867.5,1,56934.3,-3532.92,-0.18,1173.19,0.06,-3166.81,-0.16,-409343.84,-4.09
489,Entry long,2025-05-28 13:02,Long,56934.3,1,56934.3,-3532.92,-0.18,1173.19,0.06,-3166.81,-0.16,-409343.84,-4.09
490,Exit long,2025-05-29 09:23,Close entry(s) order Long,56959.3,1,57143.3,-7638.08,-0.38,289,0.01,-8762,-0.44,-416981.9,-4.17
490,Entry long,2025-05-29 09:16,Long,57143.3,1,57143.3,-7638.08,-0.38,289,0.01,-8762,-0.44,-416981.9,-4.17
491,Exit short,2025-05-29 12:52,Close entry(s) order Short,56560.9,1,56780.7,6502.91,0.33,9091.8,0.46,-5454.2,-0.27,-410479,-4.10
491,Entry short,2025-05-29 09:38,Short,56780.7,1,56780.7,6502.91,0.33,9091.8,0.46,-5454.2,-0.27,-410479,-4.10
492,Exit long,2025-05-29 14:48,Close entry(s) order Long,56630.5,1,56650.9,-1903.45,-0.10,1680.17,0.08,-2246.83,-0.11,-412382.47,-4.12
492,Entry long,2025-05-29 12:59,Long,56650.9,1,56650.9,-1903.45,-0.10,1680.17,0.08,-2246.83,-0.11,-412382.47,-4.12
493,Exit long,2025-05-30 10:30,Close entry(s) order Long,56957.15,1,56763.3,5590.69,0.28,11438.74,0.58,-596.01,-0.03,-406791.78,-4.07
