Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
5765,Exit short,2024-06-13 10:54:50,Close entry(s) order Short,54551.05,1,54528.05,-1950.33,-0.10,0,0.00,-1377.54,-0.07,-6865129.5,-68.65
5765,Entry short,2024-06-13 10:52:10,Short,54528.05,1,54528.05,-1950.33,-0.10,0,0.00,-1377.54,-0.07,-6865129.5,-68.65
5766,Exit short,2024-06-13 11:04:20,Close entry(s) order Short,54558.05,1,54518.05,-2545.3,-0.13,0,0.00,-1972.44,-0.10,-6867674.5,-68.68
5766,Entry short,2024-06-13 11:00:20,Short,54518.05,1,54518.05,-2545.3,-0.13,0,0.00,-1972.44,-0.10,-6867674.5,-68.68
5767,Exit long,2024-06-13 11:12:50,Close entry(s) order Long,54568,1,54565.05,-1042.65,-0.05,1875.32,0.10,-677.93,-0.04,-6868717.5,-68.69
5767,Entry long,2024-06-13 11:06:00,Long,54565.05,1,54565.05,-1042.65,-0.05,1875.32,0.10,-677.93,-0.04,-6868717.5,-68.69
5768,Exit short,2024-06-13 11:27:20,Close entry(s) order Short,54548.05,1,54545.05,-1250.48,-0.07,1247.28,0.07,-810.72,-0.04,-6869968,-68.70
5768,Entry short,2024-06-13 11:20:20,Short,54545.05,1,54545.05,-1250.48,-0.07,1247.28,0.07,-810.72,-0.04,-6869968,-68.70
5769,Exit long,2024-06-13 11:44:30,Close entry(s) order Long,54563.4,1,54587.9,-2003.59,-0.10,139.08,0.01,-2016.92,-0.11,-6871971.5,-68.72
5769,Entry long,2024-06-13 11:30:30,Long,54587.9,1,54587.9,-2003.59,-0.10,139.08,0.01,-2016.92,-0.11,-6871971.5,-68.72
5770,Exit long,2024-06-13 12:02:10,Close entry(s) order Long,54616,1,54604,-726.81,-0.04,1981.66,0.10,-573.34,-0.03,-6872698,-68.73
5770,Entry long,2024-06-13 11:47:50,Long,54604,1,54604,-726.81,-0.04,1981.66,0.10,-573.34,-0.03,-6872698,-68.73
5771,Exit short,2024-06-13 12:23:40,Close entry(s) order Short,54601.7,1,54618.05,-574.56,-0.03,1001.51,0.05,-573.49,-0.03,-6873272.5,-68.73
5771,Entry short,2024-06-13 12:08:30,Short,54618.05,1,54618.05,-574.56,-0.03,1001.51,0.05,-573.49,-0.03,-6873272.5,-68.73
5772,Exit long,2024-06-13 12:33:20,Close entry(s) order Long,54595.8,1,54611.7,-1703.18,-0.09,0,0.00,-1131.67,-0.06,-6874976,-68.75
5772,Entry long,2024-06-13 12:29:20,Long,54611.7,1,54611.7,-1703.18,-0.09,0,0.00,-1131.67,-0.06,-6874976,-68.75
5773,Exit short,2024-06-13 12:49:00,Close entry(s) order Short,54589.65,1,54567.05,-1937.15,-0.10,0,0.00,-1619.45,-0.08,-6876913,-68.77
5773,Entry short,2024-06-13 12:44:10,Short,54567.05,1,54567.05,-1937.15,-0.10,0,0.00,-1619.45,-0.08,-6876913,-68.77
5774,Exit long,2024-06-13 12:51:50,Close entry(s) order Long,54594.85,1,54623.05,-2133.79,-0.11,0,0.00,-1621.79,-0.08,-6879047,-68.79
5774,Entry long,2024-06-13 12:50:20,Long,54623.05,1,54623.05,-2133.79,-0.11,0,0.00,-1621.79,-0.08,-6879047,-68.79
5775,Exit short,2024-06-13 13:04:30,Close entry(s) order Short,54588.05,1,54562.1,-2054.33,-0.11,0,0.00,-1481.15,-0.08,-6881101,-68.81
