Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1339,Exit long,2025-01-24 22:28,Close entry(s) order Long,105722,1,106097,-438.55,-0.41,0,0.00,-415.83,-0.39,-85953.41,-0.86
1339,Entry long,2025-01-24 22:14,Long,106097,1,106097,-438.55,-0.41,0,0.00,-415.83,-0.39,-85953.41,-0.86
1340,Exit long,2025-01-25 00:22,Close entry(s) order Long,106416,1,106151.5,200.73,0.19,891.15,0.84,-60.35,-0.06,-85752.68,-0.86
1340,Entry long,2025-01-24 22:52,Long,106151.5,1,106151.5,200.73,0.19,891.15,0.84,-60.35,-0.06,-85752.68,-0.86
1341,Exit short,2025-01-25 02:54,Close entry(s) order Short,105321.5,1,106000,615.1,0.58,1288.2,1.21,-403.3,-0.38,-85137.58,-0.85
1341,Entry short,2025-01-25 00:39,Short,106000,1,106000,615.1,0.58,1288.2,1.21,-403.3,-0.38,-85137.58,-0.85
1342,Exit short,2025-01-25 06:10,Close entry(s) order Short,104655,1,104863.5,145.64,0.14,432.04,0.41,-50.96,-0.05,-84991.93,-0.85
1342,Entry short,2025-01-25 04:27,Short,104863.5,1,104863.5,145.64,0.14,432.04,0.41,-50.96,-0.05,-84991.93,-0.85
1343,Exit short,2025-01-25 06:35,Close entry(s) order Short,104575,1,104390,-247.69,-0.24,48.68,0.05,-218.32,-0.21,-85239.62,-0.85
1343,Entry short,2025-01-25 06:25,Short,104390,1,104390,-247.69,-0.24,48.68,0.05,-218.32,-0.21,-85239.62,-0.85
1344,Exit long,2025-01-25 09:55,Close entry(s) order Long,104820.5,1,104811,-53.39,-0.05,391.06,0.37,-95.44,-0.09,-85293.02,-0.85
1344,Entry long,2025-01-25 09:03,Long,104811,1,104811,-53.39,-0.05,391.06,0.37,-95.44,-0.09,-85293.02,-0.85
1345,Exit short,2025-01-25 12:46,Close entry(s) order Short,104440.5,1,104540.5,37.31,0.04,321.64,0.31,-126.86,-0.12,-85255.7,-0.85
1345,Entry short,2025-01-25 10:36,Short,104540.5,1,104540.5,37.31,0.04,321.64,0.31,-126.86,-0.12,-85255.7,-0.85
