Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1265,Entry long,2024-05-22 15:15,Long,53081.8,1,53081.8,21163.1,1.14,26359.39,1.42,-686.86,-0.04,-1494389.5,-14.94
1266,Exit long,2024-05-23 14:37,Close entry(s) order Long,53837.45,1,53852.75,-1666.25,-0.09,5013.55,0.27,-2063.45,-0.11,-1496055.8,-14.96
1266,Entry long,2024-05-23 14:02,Long,53852.75,1,53852.75,-1666.25,-0.09,5013.55,0.27,-2063.45,-0.11,-1496055.8,-14.96
1267,Exit long,2024-05-24 09:40,Close entry(s) order Long,53949.55,1,54036.85,-4189.36,-0.22,2370.86,0.13,-4753.39,-0.25,-1500245,-15.00
1267,Entry long,2024-05-24 09:20,Long,54036.85,1,54036.85,-4189.36,-0.22,2370.86,0.13,-4753.39,-0.25,-1500245,-15.00
1268,Exit long,2024-05-24 15:01,Close entry(s) order Long,54066.9,1,54055.2,-725.78,-0.04,5156.67,0.27,-3246.83,-0.17,-1500970.9,-15.01
1268,Entry long,2024-05-24 12:56,Long,54055.2,1,54055.2,-725.78,-0.04,5156.67,0.27,-3246.83,-0.17,-1500970.9,-15.01
1269,Exit long,2024-05-27 13:42,Close entry(s) order Long,54825.85,1,54227.85,19784.94,1.04,24455.61,1.29,-1374.39,-0.07,-1481185.9,-14.81
1269,Entry long,2024-05-27 09:16,Long,54227.85,1,54227.85,19784.94,1.04,24455.61,1.29,-1374.39,-0.07,-1481185.9,-14.81
1270,Exit short,2024-05-28 09:20,Close entry(s) order Short,54558.35,1,54694.35,3612.85,0.19,18378.21,0.96,-1410.79,-0.07,-1477573,-14.78
1270,Entry short,2024-05-27 14:48,Short,54694.35,1,54694.35,3612.85,0.19,18378.21,0.96,-1410.79,-0.07,-1477573,-14.78
1271,Exit short,2024-05-28 11:47,Close entry(s) order Short,54393.65,1,54328.2,-3432.33,-0.18,1576.8,0.08,-3377.45,-0.18,-1481005.4,-14.81
1271,Entry short,2024-05-28 11:30,Short,54328.2,1,54328.2,-3432.33,-0.18,1576.8,0.08,-3377.45,-0.18,-1481005.4,-14.81
1272,Exit short,2024-05-28 12:52,Close entry(s) order Short,54347.85,1,54251.15,-4524.79,-0.24,900.36,0.05,-3954.14,-0.21,-1485530.1,-14.86
1272,Entry short,2024-05-28 12:35,Short,54251.15,1,54251.15,-4524.79,-0.24,900.36,0.05,-3954.14,-0.21,-1485530.1,-14.86
1273,Exit long,2024-05-28 13:34,Close entry(s) order Long,54341.3,1,54477.85,-5921.85,-0.31,0,0.00,-5512.27,-0.29,-1491452,-14.91
1273,Entry long,2024-05-28 12:56,Long,54477.85,1,54477.85,-5921.85,-0.31,0,0.00,-5512.27,-0.29,-1491452,-14.91
1274,Exit short,2024-05-29 11:57,Close entry(s) order Short,53718.1,1,54308.25,19520.97,1.03,23243.76,1.22,-2757.74,-0.15,-1471931,-14.72
1274,Entry short,2024-05-28 14:47,Short,54308.25,1,54308.25,19520.97,1.03,23243.76,1.22,-2757.74,-0.15,-1471931,-14.72
1275,Exit long,2024-05-29 14:01,Close entry(s) order Long,53700.95,1,53751,-2880,-0.15,0,0.00,-2494.64,-0.13,-1474811,-14.75
1275,Entry long,2024-05-29 13:33,Long,53751,1,53751,-2880,-0.15,0,0.00,-2494.64,-0.13,-1474811,-14.75
1276,Exit short,2024-05-30 09:16,Close entry(s) order Short,53568.05,1,53619.55,677.03,0.04,7014.49,0.37,-2414.51,-0.13,-1474134,-14.74
